ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);? húmeda (gr/cm3);? seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
C-1;9458228;534278;M-2;3.6;5;1.4;;;;;SP;;;;2.5;0;27.58;1.607;1.566;;;S2;;;;;;0;96.2;1.8
C-2;9458208;534268;M-1;0;3.1;3.1;;;;;SP;;;;3.9;;;1.942;1.718;;;S2;;;;;;0;98.3;1.7
C-2;9458208;534268;M-2;3.1;5;1.9;;;;;SP;;;;5.9;0;28.43;1.614;1.528;;;S2;;;;;Leve;0;98.7;1.3
C-3;9458183;534223;M-1;0;3.2;3.2;;;;;SP;;;;2.5;;;;;;;S2;5796;2012;1160;;;0;97.1;2.9
C-3;9458183;534223;M-2;3.2;5;1.8;;;;;SP;;;;2.3;;;;;;;S2;;;;;;0;98.2;1.8
C-4;9458187;534201;M-1;0;3.5;3.5;;;;;SP;;;;2;0;28.29;;;;;S2;1752;946;130;;;0;97.8;2.2
C-4;9458187;534201;M-2;3.5;5;1.5;;;;;SP;;;;2.7;0;26.79;1.604;1.572;;;S2;;;;;Leve;0;98.4;1.6
C-5;9458226;534198;M-1;0;3.5;3.5;;;;;SP;;;;3.3;;;;;;;S2;687;346;120;;;0;98.9;1.1
C-5;9458226;534198;M-2;3.5;5;1.5;;;;;SP;;;;3.1;0;28.09;1.615;1.562;;;S2;;;;;;0;97.5;2.5
C-6;9458229;534223;M-1;0;2;2;;;;;SP;;;;5.3;;;;;;;S2;;;;;;0;96.3;3.7
C-6;9458229;534223;M-2;2;5;3;;;;;SP;;;;1.5;;;;;;;S2;;;;;;0;98.1;1.9
C-7;9458168;534209;M-1;0;3.2;3.2;;;;;SP;;;;1.2;;;;;;;S2;;;;;;0;96.7;3.3
C-7;9458168;534209;M-2;3.2;5;1.8;;;;;SP;;;;2.6;;;;;;;S2;;;;;;0;96.6;3.4
MW-1;9458232.123;534235.9335;M-1;0;1.071429;1.071429;338.717418;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9458232.123;534235.9335;M-2;1.071429;2.307693;1.236264;323.640404;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9458232.123;534235.9335;M-3;2.307693;3.708791;1.401098;334.713004;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9458232.123;534235.9335;M-4;3.708791;5.274726;1.565935;371.079312;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9458232.123;534235.9335;M-5;5.274726;7.005495;1.730769;363.229817;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9458232.123;534235.9335;M-6;7.005495;8.9011;1.895605;369.363149;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9458232.123;534235.9335;M-7;8.9011;10.961539;2.060439;414.35585;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9458232.123;534235.9335;M-8;10.961539;13.186814;2.225275;435.495426;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9458232.123;534235.9335;M-9;13.186814;15.576924;2.39011;522.410024;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9458232.123;534235.9335;M-10;15.576924;18.131869;2.554945;576.452574;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9458232.123;534235.9335;M-11;18.131869;20.851649;2.71978;580.319384;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9458232.123;534235.9335;M-12;20.851649;23.736265;2.884616;600.212255;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9458232.123;534235.9335;M-13;23.736265;26.785715;3.04945;591.744133;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9458232.123;534235.9335;M-14;26.785715;36.428571;9.642856;603.209989;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9458232.123;534235.9335;M-15;36.428571;;;635.617197;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9458176.621;534251.0937;M-1;0;1.071429;1.071429;328.67325;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9458176.621;534251.0937;M-2;1.071429;2.307693;1.236264;313.684275;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9458176.621;534251.0937;M-3;2.307693;3.708791;1.401098;293.495507;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9458176.621;534251.0937;M-4;3.708791;5.274726;1.565935;361.6859;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9458176.621;534251.0937;M-5;5.274726;7.005495;1.730769;429.512813;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9458176.621;534251.0937;M-6;7.005495;8.9011;1.895605;433.26601;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9458176.621;534251.0937;M-7;8.9011;10.961539;2.060439;384.387018;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9458176.621;534251.0937;M-8;10.961539;13.186814;2.225275;360.589439;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9458176.621;534251.0937;M-9;13.186814;15.576924;2.39011;411.99542;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9458176.621;534251.0937;M-10;15.576924;18.131869;2.554945;430.536662;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9458176.621;534251.0937;M-11;18.131869;20.851649;2.71978;514.785527;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9458176.621;534251.0937;M-12;20.851649;23.736265;2.884616;535.429509;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9458176.621;534251.0937;M-13;23.736265;26.785715;3.04945;544.73642;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9458176.621;534251.0937;M-14;26.785715;36.428571;9.642856;616.72543;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9458176.621;534251.0937;M-15;36.428571;;;616.725445;;;;;;;;;;;;;;;;;;;;;;;
