ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);? húmeda (gr/cm3);? seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
SPT-3;9413179;534367;M15;15;16;1;-;-;24;19;SC-SM;12.71;7.26;5.45;5.38;-;-;-;-;1.53;-;S2;1023;1786;1237;7.53;-;0;83.06;16.94
C1;9413037.00;534376.00;M-1;0;1.4;1.4;-;-;-;-;CL;32.3;20.8;11.6;18.2;-;-;2.01;1.822;-;-;S2;-;-;-;-;-;0;3.5;96.5
C1;9413037.01;534376.01;M-2;1.4;3;1.6;-;-;-;-;SM;NP;NP;NP;21.4;-;-;-;-;-;-;S2;-;-;-;-;-;0;52.4;47.6
C2;9413067.00;534342;M-1;0;0.5;0.5;-;-;-;-;CL;29.9;20.8;9.1;18.4;-;-;-;-;-;-;S2;-;-;-;-;-;0,0;13,5;86,5
C2;9413067.01;534343;M-2;0.5;2.7;2.2;-;-;-;-;ML;21.2;NP;NP;22.2;25.91;0;1.658;1.371;-;-;S2;-;-;-;-;Moderado;0;40.1;59.9
C2;9413067.02;534344;M-3;2.7;3;0.3;-;-;-;-;SP-SM;NP;NP;NP;23.1;-;-;1.659;1.432;-;-;S2;-;-;-;-;-;0;90;10
C3;9413091.00;534363.00;M-1;0;1;1;-;-;-;-;CL;29.1;15.4;13.8;12.2;-;-;2.1;1.835;-;-;S2;-;-;-;-;-;3.8;23;73.2
C3;9413091.01;534363.01;M-2;1;3.1;2.1;-;-;-;-;SM;NP;NP;NP;14.2;-;-;-;-;-;-;S2;2949;1523;780;-;-;0;73.7;26.3
C4;9413117.00;534341.00;M-1;0;1;1;-;-;-;-;CL;25.3;17.3;8;11.7;-;-;-;-;-;-;S2;8871;4210;1860;-;-;0;28.1;71.9
C4;9413117.01;534341.01;M-2;1;2.5;1.5;-;-;-;-;ML;20.7;19.4;1.4;20.3;27.05;0.05;1.625;1.372;-;-;S2;-;-;-;-;-;0.6;31.5;67.9
C4;9413117.02;534341.02;M-3;2.5;3;0.5;-;-;-;-;SM;NP;NP;NP;20.7;-;-;-;-;-;-;S2;-;-;-;-;-;0;83.5;16.5
C5;9413141;534378.00;M-1;0;1.1;1.1;-;-;-;-;CL;22.6;14;8.6;8.7;-;-;-;-;-;-;S2;-;-;-;-;-;0;24.9;75.1
C5;9413142;534378.01;M-2;1.1;3.3;2.2;-;-;-;-;SP;NP;NP;NP;4;27.58;0;1.642;1.251;-;-;S2;-;-;-;-;Moderado;0;96.6;3.4
C6;9413201.00;534364.00;M-1;0;1.8;1.8;-;-;-;-;CL-ML;25.3;19;6.2;20.4;-;-;2.142;1.905;-;-;S2;-;-;-;-;-;0;17.7;82.3
C6;9413201.01;534364.01;M-2;1.8;3;1.2;-;-;-;-;SP-SM;NP;NP;NP;19.9;-;-;-;-;-;-;S2;-;-;-;-;-;0;90.9;9.1
C7;9413268.00;534381.00;M-1;0;1;1;-;-;-;-;CL-ML;27.6;21.7;5.9;21.1;-;-;-;-;-;-;S2;-;-;-;-;-;1.5;20.7;77.8
C7;9413268.01;534381.01;M-2;1;3;2;-;-;-;-;SP-SM;NP;NP;NP;33.4;27.61;1.8;1.627;1.251;-;-;S2;-;-;-;-;-;0;91.6;8.4
C8;9413268.00;534348.00;M-1;0;1.3;1.3;-;-;-;-;CL;29.4;18.3;11;21.2;-;-;-;-;-;-;S2;-;-;-;-;-;1.4;23.9;74.7
C8;9413268.01;534348.01;M-2;1.3;2.9;1.6;-;-;-;-;ML;NP;NP;NP;21.6;-;-;-;-;-;-;S2;-;-;-;-;-;0;28;72
MW-1;9413264.94;534386.2278;M-1;0;1.071429;1.071429;159.40015;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9413264.94;534386.2278;M-2;1.071429;2.307692;1.236263;176.616177;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9413264.94;534386.2278;M-3;2.307692;3.708791;1.401099;208.031133;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9413264.94;534386.2278;M-4;3.708791;5.274725;1.565934;215.1196;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9413264.94;534386.2278;M-5;5.274725;7.005495;1.73077;237.659574;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9413264.94;534386.2278;M-6;7.005495;8.901099;1.895604;259.822726;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9413264.94;534386.2278;M-7;8.901099;10.961538;2.060439;285.2768;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9413264.94;534386.2278;M-8;10.961538;13.186812;2.225274;314.918727;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9413264.94;534386.2278;M-9;13.186812;15.576922;2.39011;332.783878;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9413264.94;534386.2278;M-10;15.576922;18.131867;2.554945;335.211992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9413264.94;534386.2278;M-11;18.131867;20.851647;2.71978;352.845639;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9413264.94;534386.2278;M-12;20.851647;23.736263;2.884616;370.626271;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9413264.94;534386.2278;M-13;23.736263;26.785713;3.04945;373.39586;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9413264.94;534386.2278;M-14;26.785713;36.428571;9.642858;391.418457;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9413264.94;534386.2278;M-15;36.428571;-;-;393.947124;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9413268.393;534359.1493;M-1;0;1.071429;1.071429;225.223362;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9413268.393;534359.1493;M-2;1.071429;2.307692;1.236263;223.379314;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9413268.393;534359.1493;M-3;2.307692;3.708791;1.401099;228.285462;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9413268.393;534359.1493;M-4;3.708791;5.274725;1.565934;255.651772;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9413268.393;534359.1493;M-5;5.274725;7.005495;1.73077;279.350609;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9413268.393;534359.1493;M-6;7.005495;8.901099;1.895604;308.77009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9413268.393;534359.1493;M-7;8.901099;10.961538;2.060439;332.401782;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9413268.393;534359.1493;M-8;10.961538;13.186812;2.225274;344.497561;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9413268.393;534359.1493;M-9;13.186812;15.576922;2.39011;376.773983;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9413268.393;534359.1493;M-10;15.576922;18.131867;2.554945;375.514477;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9413268.393;534359.1493;M-11;18.131867;20.851647;2.71978;406.014323;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9413268.393;534359.1493;M-12;20.851647;23.736263;2.884616;410.605758;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9413268.393;534359.1493;M-13;23.736263;26.785713;3.04945;457.619101;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9413268.393;534359.1493;M-14;26.785713;36.428571;9.642858;506.922066;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9413268.393;534359.1493;M-15;36.428571;-;-;518.793821;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9413104.121;534354.3065;M-1;0;1.071429;1.071429;184.162319;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9413104.121;534354.3065;M-2;1.071429;2.307692;1.236263;178.038716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9413104.121;534354.3065;M-3;2.307692;3.708791;1.401099;186.876103;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9413104.121;534354.3065;M-4;3.708791;5.274725;1.565934;215.732396;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9413104.121;534354.3065;M-5;5.274725;7.005495;1.73077;235.29239;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9413104.121;534354.3065;M-6;7.005495;8.901099;1.895604;242.06005;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9413104.121;534354.3065;M-7;8.901099;10.961538;2.060439;270.944983;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9413104.121;534354.3065;M-8;10.961538;13.186812;2.225274;293.983608;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9413104.121;534354.3065;M-9;13.186812;15.576922;2.39011;319.389135;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9413104.121;534354.3065;M-10;15.576922;18.131867;2.554945;322.691739;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9413104.121;534354.3065;M-11;18.131867;20.851647;2.71978;381.75112;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9413104.121;534354.3065;M-12;20.851647;23.736263;2.884616;389.730066;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9413104.121;534354.3065;M-13;23.736263;26.785713;3.04945;398.903638;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9413104.121;534354.3065;M-14;26.785713;36.428571;9.642858;461.633116;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9413104.121;534354.3065;M-15;36.428571;-;-;470.250994;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
