ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);? húmeda (gr/cm3);? seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
C-1;9464203;509677;M-2;1.15;3.2;2.05;-;-;-;-;SW-SM;NP;NP;NP;2.7;-;-;2.264;2.054;-;-;S2;-;-;-;-;-;2.3;92.6;5.1
C-1;9464203;509677;M-3;3.2;4;0.8;-;-;-;-;SM;NP;NP;NP;4.9;29.57;0.02;1.625;1.582;-;-;S2;-;-;-;-;Bajo ;0;69.8;30.2
C-1;9464203;509677;M-4;4;5;1;-;-;-;-;SP;NP;NP;NP;1.8;28.74;0.01;1.624;1.595;-;-;S2;-;-;-;-;-;4.2;91.4;4.4
C-2;9464217;509619;M-1;0;0.8;0.8;-;-;-;-;SM;NP;NP;NP;3.9;-;-;-;-;-;-;S2;-;-;-;-;-;9.3;75.8;14.9
C-2;9464217;509619;M-2;0.8;3.8;3;-;-;-;-;SW-SM;NP;NP;NP;2.3;-;-;-;-;-;-;S2;-;-;-;-;-;5.3;87.1;7.6
C-2;9464217;509619;M-3;3.8;4.1;0.3;-;-;-;-;SP;NP;NP;NP;1.3;-;-;-;-;-;-;S2;-;-;-;-;-;7.9;91.1;1
C-2;9464217;509619;M-4;4.1;5;0.9;-;-;-;-;SP;NP;NP;NP;2.5;-;-;-;-;-;-;S2;-;-;-;-;-;24.7;74;1.3
C-3;9464239;509652;M-1;0;3.8;3.8;-;-;-;-;SP-SM;NP;NP;NP;2.2;-;-;-;-;-;-;S2;-;-;-;-;-;7.6;86.3;6.1
C-3;9464239;509652;M-2;3.8;5;1.2;-;-;-;-;SW;NP;NP;NP;1.6;-;-;-;-;-;-;S2;3282;1576;780;-;-;14.6;82;3.4
C-4;9464241;509674;M-1;0;0.4;0.4;-;-;-;-;SM;NP;NP;NP;7.9;-;-;-;-;-;-;S2;-;-;-;-;-;0.9;74.7;24.4
C-4;9464241;509674;M-2;0.4;2.4;2;-;-;-;-;SW-SM;NP;NP;NP;3.3;-;-;-;1.659;-;-;S2;-;-;-;-;-;2.7;91.1;6.2
C-4;9464241;509674;M-3;2.4;2.7;0.3;-;-;-;-;CL;40.1;17.4;22.7;8.5;-;-;-;-;-;-;S2;-;-;-;-;-;2;39.4;58.6
C-4;9464241;509674;M-4;2.7;5;2.3;-;-;-;-;SW;NP;NP;NP;3.2;-;-;-;-;-;-;S2;-;-;-;-;-;5.2;91.1;3.7
MW-1;9464201.885;509645.6615;M-1;0;1.071429;1.071429;264.005725;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9464201.885;509645.6615;M-2;1.071429;2.307693;1.236264;247.749525;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9464201.885;509645.6615;M-3;2.307693;3.708791;1.401098;262.106944;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9464201.885;509645.6615;M-4;3.708791;5.274726;1.565935;300.454426;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9464201.885;509645.6615;M-5;5.274726;7.005495;1.730769;316.372741;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9464201.885;509645.6615;M-6;7.005495;8.9011;1.895605;309.367569;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9464201.885;509645.6615;M-7;8.9011;10.961539;2.060439;320.394583;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9464201.885;509645.6615;M-8;10.961539;13.186814;2.225275;343.092381;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9464201.885;509645.6615;M-9;13.186814;15.576924;2.39011;352.842097;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9464201.885;509645.6615;M-10;15.576924;18.131869;2.554945;411.935357;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9464201.885;509645.6615;M-11;18.131869;20.851649;2.71978;419.898751;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9464201.885;509645.6615;M-12;20.851649;23.736265;2.884616;425.305239;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9464201.885;509645.6615;M-13;23.736265;26.785715;3.04945;473.102197;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9464201.885;509645.6615;M-14;26.785715;36.428571;9.642856;492.337227;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9464201.885;509645.6615;M-15;36.428571;;-36.428571;492.337227;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9464233.785;509647.0507;M-1;0;1.071429;1.071429;274.095161;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9464233.785;509647.0507;M-2;1.071429;2.307693;1.236264;264.044251;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9464233.785;509647.0507;M-3;2.307693;3.708791;1.401098;261.486063;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9464233.785;509647.0507;M-4;3.708791;5.274726;1.565935;288.690215;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9464233.785;509647.0507;M-5;5.274726;7.005495;1.730769;307.283092;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9464233.785;509647.0507;M-6;7.005495;8.9011;1.895605;319.948886;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9464233.785;509647.0507;M-7;8.9011;10.961539;2.060439;324.899823;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9464233.785;509647.0507;M-8;10.961539;13.186814;2.225275;319.212536;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9464233.785;509647.0507;M-9;13.186814;15.576924;2.39011;332.399667;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9464233.785;509647.0507;M-10;15.576924;18.131869;2.554945;336.784334;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9464233.785;509647.0507;M-11;18.131869;20.851649;2.71978;353.963658;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9464233.785;509647.0507;M-12;20.851649;23.736265;2.884616;357.8893;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9464233.785;509647.0507;M-13;23.736265;26.785715;3.04945;359.991579;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
