ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);? húmeda (gr/cm3);? seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
C-5;9418383;537353;M-2;1;2;1;;;;;SC;30.3;13;17.3;7.8;;;;;;;S2;;;;;;0,0;53,3;46,7
C-5;9418383;537353;M-3;2;5;3;;;;;SP-SM;;;;18.5;28.64;0.02;1.758;1.267;;;S2;40524;5663;3460;;;2,2;86,8;11,0
C-6;9418369;537398;M-1;0;0.55;0.55;;;;;SM;;;;3.9;;;;;;;S2;;;;;;2,8;61,6;35,6
C-6;9418369;537398;M-2;0.55;5;4.45;;;;;SM;;;;11.1;29.06;0;1.64;1.449;;;S2;;;;;;1,9;80,5;17,6
C-7;9418344;537405;M-1;0;0.55;0.55;;;;;SM;;;;9.4;;;2.133;1.918;;;S2;;;;;;1,2;66,9;31,9
C-7;9418344;537405;M-2;0.55;5;4.45;;;;;SM;;;;10.3;;;;;;;S2;;;;;;0,7;79,6;19,7
C-8;9418391;537456;M-1;0;0.6;0.6;;;;;CL;23.3;16.1;7.2;13.1;;;;;;;S2;;;;;;0,8;41,9;57,3
C-8;9418391;537456;M-2;0.6;5;4.4;;;;;SM;;;;7.9;;;;;;;S2;44346;6539;3860;;;0,0;86,9;13,1
MW-1;9418379.14;537352.8907;M-1;0;1.071429;1.071429;227.39616;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418379.14;537352.8907;M-2;1.071429;2.307692;1.236263;230.686188;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418379.14;537352.8907;M-3;2.307692;3.708791;1.401099;251.657695;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418379.14;537352.8907;M-4;3.708791;5.274725;1.565934;307.412833;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418379.14;537352.8907;M-5;5.274725;7.005495;1.73077;355.767667;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418379.14;537352.8907;M-6;7.005495;8.901099;1.895604;379.799455;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418379.14;537352.8907;M-7;8.901099;10.961538;2.060439;373.874336;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418379.14;537352.8907;M-8;10.961538;13.186812;2.225274;380.034834;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418379.14;537352.8907;M-9;13.186812;15.576922;2.39011;413.74594;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418379.14;537352.8907;M-10;15.576922;18.131867;2.554945;412.919134;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418379.14;537352.8907;M-11;18.131867;20.851647;2.71978;450.913936;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418379.14;537352.8907;M-12;20.851647;23.736263;2.884616;465.975583;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418379.14;537352.8907;M-13;23.736263;26.785713;3.04945;482.89758;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418379.14;537352.8907;M-14;26.785713;36.428571;9.642858;494.429648;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9418379.14;537352.8907;M-15;36.428571;;;500.666618;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418346.265;537438.0699;M-1;0;1.071429;1.071429;244.978487;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418346.265;537438.0699;M-2;1.071429;2.307692;1.236263;247.351184;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418346.265;537438.0699;M-3;2.307692;3.708791;1.401099;270.531327;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418346.265;537438.0699;M-4;3.708791;5.274725;1.565934;317.564547;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418346.265;537438.0699;M-5;5.274725;7.005495;1.73077;343.390465;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418346.265;537438.0699;M-6;7.005495;8.901099;1.895604;347.801149;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418346.265;537438.0699;M-7;8.901099;10.961538;2.060439;354.005247;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418346.265;537438.0699;M-8;10.961538;13.186812;2.225274;363.904327;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418346.265;537438.0699;M-9;13.186812;15.576922;2.39011;374.092758;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418346.265;537438.0699;M-10;15.576922;18.131867;2.554945;388.39525;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418346.265;537438.0699;M-11;18.131867;20.851647;2.71978;406.078726;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418346.265;537438.0699;M-12;20.851647;23.736263;2.884616;425.788432;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418346.265;537438.0699;M-13;23.736263;26.785713;3.04945;432.486564;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418346.265;537438.0699;M-14;26.785713;36.428571;9.642858;452.898026;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9418346.265;537438.0699;M-15;36.428571;;;457.307547;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9418337.673;537385.5817;M-1;0;1.071429;1.071429;202.116743;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9418337.673;537385.5817;M-2;1.071429;2.307692;1.236263;208.376944;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9418337.673;537385.5817;M-3;2.307692;3.708791;1.401099;257.360905;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9418337.673;537385.5817;M-4;3.708791;5.274725;1.565934;309.632152;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9418337.673;537385.5817;M-5;5.274725;7.005495;1.73077;335.608006;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9418337.673;537385.5817;M-6;7.005495;8.901099;1.895604;331.228703;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9418337.673;537385.5817;M-7;8.901099;10.961538;2.060439;329.244256;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9418337.673;537385.5817;M-8;10.961538;13.186812;2.225274;326.738298;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9418337.673;537385.5817;M-9;13.186812;15.576922;2.39011;357.579619;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9418337.673;537385.5817;M-10;15.576922;18.131867;2.554945;368.22927;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9418337.673;537385.5817;M-11;18.131867;20.851647;2.71978;373.349637;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9418337.673;537385.5817;M-12;20.851647;23.736263;2.884616;418.490648;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9418337.673;537385.5817;M-13;23.736263;26.785713;3.04945;430.145413;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9418337.673;537385.5817;M-14;26.785713;36.428571;9.642858;478.254169;;;;;;;;;;;;;;;;;;;;;;;
MW-3;9418337.673;537385.5817;M-15;36.428571;;;488.581985;;;;;;;;;;;;;;;;;;;;;;;
MW-4;9418277.144;537329.8676;M-1;0;1.071429;1.071429;178.931788;;;;;;;;;;;;;;;;;;;;;;;
MW-4;9418277.144;537329.8676;M-2;1.071429;2.307692;1.236263;190.144166;;;;;;;;;;;;;;;;;;;;;;;
MW-4;9418277.144;537329.8676;M-3;2.307692;3.708791;1.401099;240.813196;;;;;;;;;;;;;;;;;;;;;;;
MW-4;9418277.144;537329.8676;M-4;3.708791;5.274725;1.565934;272.569269;;;;;;;;;;;;;;;;;;;;;;;
MW-4;9418277.144;537329.8676;M-5;5.274725;7.005495;1.73077;269.076794;;;;;;;;;;;;;;;;;;;;;;;
MW-4;9418277.144;537329.8676;M-6;7.005495;8.901099;1.895604;270.833135;;;;;;;;;;;;;;;;;;;;;;;
MW-4;9418277.144;537329.8676;M-7;8.901099;10.961538;2.060439;274.149746;;;;;;;;;;;;;;;;;;;;;;;
MW-4;9418277.144;537329.8676;M-8;10.961538;13.186812;2.225274;307.146877;;;;;;;;;;;;;;;;;;;;;;;
MW-4;9418277.144;537329.8676;M-9;13.186812;15.576922;2.39011;344.895244;;;;;;;;;;;;;;;;;;;;;;;
MW-4;9418277.144;537329.8676;M-10;15.576922;18.131867;2.554945;378.837734;;;;;;;;;;;;;;;;;;;;;;;
MW-4;9418277.144;537329.8676;M-11;18.131867;20.851647;2.71978;387.386501;;;;;;;;;;;;;;;;;;;;;;;
MW-4;9418277.144;537329.8676;M-12;20.851647;23.736263;2.884616;417.779714;;;;;;;;;;;;;;;;;;;;;;;
MW-4;9418277.144;537329.8676;M-13;23.736263;26.785713;3.04945;422.974557;;;;;;;;;;;;;;;;;;;;;;;
MW-4;9418277.144;537329.8676;M-14;26.785713;36.428571;9.642858;450.149953;;;;;;;;;;;;;;;;;;;;;;;
MW-4;9418277.144;537329.8676;M-15;36.428571;;;451.285005;;;;;;;;;;;;;;;;;;;;;;;
