ítem,Norte,Este,Muestra,De,Hasta,potencia,Vs(m/s),Nspt,(N1)60,SUCS,LL%,LP,IP%,W%,ø°,C(Kg/cm2),densidadhúmeda(gr/cm3),densidadseca(gr/cm3),Qadm.(kg/cm2),Qult.(kg/cm2),TipodeSuelo,SST(ppm),SO4(ppm),CL(ppm),pH(ppm),Colapso,Gravas,Arenas,Finos,colegio,Vs (m/s),LL %,IP %,ø °,C (Kg/cm2),Densidad húmeda (gr/cm3),Densidad seca (gr/cm3),Qadm. (kg/cm2),Qult. (kg/cm2),Tipo de Suelo,SST (ppm),SO4 (ppm),CL (ppm),pH (ppm),?húmeda(gr/cm3),?seca(gr/cm3),? húmeda (gr/cm3),? seca (gr/cm3),profundidad_media
SPT-3,9413179.0,534367.0,M-15,14.0,15.0,1.0,,71.0,75.0,SM ,,,,14.36,,,,,,,,,,,,,0.0,71.65,28.35,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,,,,,,,,,S2,,,,,,,,,14.5
SPT-3,9413179.0,534367.0,M-16,15.0,16.0,1.0,,24.0,19.0,SC-SM,,7.26,,5.38,,,,,,,,,,,,,0.0,83.06,16.94,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,12.71,5.45,,,,,1.53,,S2,1023.0,1786.0,1237.0,7.53,,,,,15.5
C-1,9413037.0,534376.0,M-1,0.0,1.4,1.4,,,,CL,,20.8,,18.2,,,,,,,,,,,,,0.0,3.5,96.5,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,32.3,11.6,,,2.01,1.822,,,S2,,,,,,,,,0.7
C-1,9413037.01,534376.01,M-2,1.4,3.0,1.6,,,,SM,,,,21.4,,,,,,,,,,,,,0.0,52.4,47.6,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,,,,,,,,,S2,,,,,,,,,2.2
C-2,9413067.0,534342.0,M-1,0.0,0.5,0.5,,,,CL,,20.8,,18.4,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,29.9,9.1,,,,,,,S2,,,,,,,,,0.25
C-2,9413067.01,534343.0,M-2,0.5,2.7,2.2,,,,ML,,,,22.2,,,,,,,,,,,,Moderado,0.0,40.1,59.9,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,21.2,,25.91,0.0,1.658,1.371,,,S2,,,,,,,,,1.6
C-2,9413067.02,534344.0,M-3,2.7,3.0,0.3,,,,SP-SM,,,,23.1,,,,,,,,,,,,,0.0,90.0,10.0,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,,,,,1.659,1.432,,,S2,,,,,,,,,2.85
C-3,9413091.0,534363.0,M-1,0.0,1.0,1.0,,,,CL,,15.4,,12.2,,,,,,,,,,,,,3.8,23.0,73.2,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,29.1,13.8,,,2.1,1.835,,,S2,,,,,,,,,0.5
C-3,9413091.01,534363.01,M-2,1.0,3.1,2.1,,,,SM,,,,14.2,,,,,,,,,,,,,0.0,73.7,26.3,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,,,,,,,,,S2,2949.0,1523.0,780.0,,,,,,2.05
C-4,9413117.0,534341.0,M-1,0.0,1.0,1.0,,,,CL,,17.3,,11.7,,,,,,,,,,,,,0.0,28.1,71.9,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,25.3,8.0,,,,,,,S2,8871.0,4210.0,1860.0,,,,,,0.5
C-4,9413117.01,534341.01,M-2,1.0,2.5,1.5,,,,ML,,19.4,,20.3,,,,,,,,,,,,,0.6,31.5,67.9,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,20.7,1.4,27.05,0.05,1.625,1.372,,,S2,,,,,,,,,1.75
C-4,9413117.02,534341.02,M-3,2.5,3.0,0.5,,,,SM,,,,20.7,,,,,,,,,,,,,0.0,83.5,16.5,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,,,,,,,,,S2,,,,,,,,,2.75
C-5,9413141.0,534378.0,M-1,0.0,1.1,1.1,,,,CL,,14.0,,8.7,,,,,,,,,,,,,0.0,24.9,75.1,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,22.6,8.6,,,,,,,S2,,,,,,,,,0.55
C-5,9413142.0,534378.01,M-2,1.1,3.3,2.2,,,,SP,,,,4.0,,,,,,,,,,,,Moderado,0.0,96.6,3.4,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,,,27.58,0.0,1.642,1.251,,,S2,,,,,,,,,2.2
C-6,9413201.0,534364.0,M-1,0.0,1.8,1.8,,,,CL-ML,,19.0,,20.4,,,,,,,,,,,,,0.0,17.7,82.3,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,25.3,6.2,,,2.142,1.905,,,S2,,,,,,,,,0.9
C-6,9413201.01,534364.01,M-2,1.8,3.0,1.2,,,,SP-SM,,,,19.9,,,,,,,,,,,,,0.0,90.9,9.1,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,,,,,,,,,S2,,,,,,,,,2.4
C-7,9413268.0,534381.0,M-1,0.0,1.0,1.0,,,,CL-ML,,21.7,,21.1,,,,,,,,,,,,,1.5,20.7,77.8,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,27.6,5.9,,,,,,,S2,,,,,,,,,0.5
C-7,9413268.01,534381.01,M-2,1.0,3.0,2.0,,,,SP-SM,,,,33.4,,,,,,,,,,,,,0.0,91.6,8.4,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,,,27.61,1.8,1.627,1.251,,,S2,,,,,,,,,2.0
C-8,9413268.0,534348.0,M-1,0.0,1.3,1.3,,,,CL,,18.3,,21.2,,,,,,,,,,,,,1.4,23.9,74.7,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,29.4,11.0,,,,,,,S2,,,,,,,,,0.65
C-8,9413268.01,534348.01,M-2,1.3,2.9,1.6,,,,ML,,,,21.6,,,,,,,,,,,,,0.0,28.0,72.0,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,,,,,,,,,,S2,,,,,,,,,2.1
MW-1,9413264.94,534386.2278,M-1,0.0,1.071429,1.071429,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,159.40015,,,,,,,,,,,,,,,,,,0.5357145
MW-1,9413264.94,534386.2278,M-2,1.071429,2.307692,1.236263,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,176.616177,,,,,,,,,,,,,,,,,,1.6895604999999998
MW-1,9413264.94,534386.2278,M-3,2.307692,3.708791,1.401099,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,208.031133,,,,,,,,,,,,,,,,,,3.0082415
MW-1,9413264.94,534386.2278,M-4,3.708791,5.274725,1.565934,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,215.1196,,,,,,,,,,,,,,,,,,4.491758
MW-1,9413264.94,534386.2278,M-5,5.274725,7.005495,1.73077,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,237.659574,,,,,,,,,,,,,,,,,,6.14011
MW-1,9413264.94,534386.2278,M-6,7.005495,8.901099,1.895604,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,259.822726,,,,,,,,,,,,,,,,,,7.953297
MW-1,9413264.94,534386.2278,M-7,8.901099,10.961538,2.060439,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,285.2768,,,,,,,,,,,,,,,,,,9.9313185
MW-1,9413264.94,534386.2278,M-8,10.961538,13.186812,2.225274,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,314.918727,,,,,,,,,,,,,,,,,,12.074175
MW-1,9413264.94,534386.2278,M-9,13.186812,15.576922,2.39011,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,332.783878,,,,,,,,,,,,,,,,,,14.381867
MW-1,9413264.94,534386.2278,M-10,15.576922,18.131867,2.554945,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,335.211992,,,,,,,,,,,,,,,,,,16.854394499999998
MW-1,9413264.94,534386.2278,M-11,18.131867,20.851647,2.71978,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,352.845639,,,,,,,,,,,,,,,,,,19.491757
MW-1,9413264.94,534386.2278,M-12,20.851647,23.736263,2.884616,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,370.626271,,,,,,,,,,,,,,,,,,22.293955
MW-1,9413264.94,534386.2278,M-13,23.736263,26.785713,3.04945,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,373.39586,,,,,,,,,,,,,,,,,,25.260988
MW-1,9413264.94,534386.2278,M-14,26.785713,36.428571,9.642858,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,391.418457,,,,,,,,,,,,,,,,,,31.607142
MW-2,9413268.393,534359.1493,M-1,0.0,1.071429,1.071429,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,225.223362,,,,,,,,,,,,,,,,,,0.5357145
MW-2,9413268.393,534359.1493,M-2,1.071429,2.307692,1.236263,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,223.379314,,,,,,,,,,,,,,,,,,1.6895604999999998
MW-2,9413268.393,534359.1493,M-3,2.307692,3.708791,1.401099,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,228.285462,,,,,,,,,,,,,,,,,,3.0082415
MW-2,9413268.393,534359.1493,M-4,3.708791,5.274725,1.565934,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,255.651772,,,,,,,,,,,,,,,,,,4.491758
MW-2,9413268.393,534359.1493,M-5,5.274725,7.005495,1.73077,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,279.350609,,,,,,,,,,,,,,,,,,6.14011
MW-2,9413268.393,534359.1493,M-6,7.005495,8.901099,1.895604,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,308.77009,,,,,,,,,,,,,,,,,,7.953297
MW-2,9413268.393,534359.1493,M-7,8.901099,10.961538,2.060439,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,332.401782,,,,,,,,,,,,,,,,,,9.9313185
MW-2,9413268.393,534359.1493,M-8,10.961538,13.186812,2.225274,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,344.497561,,,,,,,,,,,,,,,,,,12.074175
MW-2,9413268.393,534359.1493,M-9,13.186812,15.576922,2.39011,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,376.773983,,,,,,,,,,,,,,,,,,14.381867
MW-2,9413268.393,534359.1493,M-10,15.576922,18.131867,2.554945,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,375.514477,,,,,,,,,,,,,,,,,,16.854394499999998
MW-2,9413268.393,534359.1493,M-11,18.131867,20.851647,2.71978,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,406.014323,,,,,,,,,,,,,,,,,,19.491757
MW-2,9413268.393,534359.1493,M-12,20.851647,23.736263,2.884616,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,410.605758,,,,,,,,,,,,,,,,,,22.293955
MW-2,9413268.393,534359.1493,M-13,23.736263,26.785713,3.04945,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,457.619101,,,,,,,,,,,,,,,,,,25.260988
MW-2,9413268.393,534359.1493,M-14,26.785713,36.428571,9.642858,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,506.922066,,,,,,,,,,,,,,,,,,31.607142
MW-3,9413104.121,534354.3065,M-1,0.0,1.071429,1.071429,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,184.162319,,,,,,,,,,,,,,,,,,0.5357145
MW-3,9413104.121,534354.3065,M-2,1.071429,2.307692,1.236263,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,178.038716,,,,,,,,,,,,,,,,,,1.6895604999999998
MW-3,9413104.121,534354.3065,M-3,2.307692,3.708791,1.401099,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,186.876103,,,,,,,,,,,,,,,,,,3.0082415
MW-3,9413104.121,534354.3065,M-4,3.708791,5.274725,1.565934,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,215.732396,,,,,,,,,,,,,,,,,,4.491758
MW-3,9413104.121,534354.3065,M-5,5.274725,7.005495,1.73077,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,235.29239,,,,,,,,,,,,,,,,,,6.14011
MW-3,9413104.121,534354.3065,M-6,7.005495,8.901099,1.895604,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,242.06005,,,,,,,,,,,,,,,,,,7.953297
MW-3,9413104.121,534354.3065,M-7,8.901099,10.961538,2.060439,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,270.944983,,,,,,,,,,,,,,,,,,9.9313185
MW-3,9413104.121,534354.3065,M-8,10.961538,13.186812,2.225274,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,293.983608,,,,,,,,,,,,,,,,,,12.074175
MW-3,9413104.121,534354.3065,M-9,13.186812,15.576922,2.39011,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,319.389135,,,,,,,,,,,,,,,,,,14.381867
MW-3,9413104.121,534354.3065,M-10,15.576922,18.131867,2.554945,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,322.691739,,,,,,,,,,,,,,,,,,16.854394499999998
MW-3,9413104.121,534354.3065,M-11,18.131867,20.851647,2.71978,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,381.75112,,,,,,,,,,,,,,,,,,19.491757
MW-3,9413104.121,534354.3065,M-12,20.851647,23.736263,2.884616,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,389.730066,,,,,,,,,,,,,,,,,,22.293955
MW-3,9413104.121,534354.3065,M-13,23.736263,26.785713,3.04945,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,398.903638,,,,,,,,,,,,,,,,,,25.260988
MW-3,9413104.121,534354.3065,M-14,26.785713,36.428571,9.642858,,,,,,,,,,,,,,,,,,,,,,,,13. LOCAL ESCOLAR GENARO MARTINEZ SILVA.ok,461.633116,,,,,,,,,,,,,,,,,,31.607142
SPT-1,9407223.0,530862.0,M-1,0.0,1.0,1.0,,8.0,10.2,SP,,,,3.2,,,,,,,,,,,,,0.0,96.7,3.3,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,0.81,,S2,,,,,,,,,0.5
SPT-1,9407223.0,530862.0,M-2,1.0,2.0,1.0,,2.0,2.55,CL,,19.3,,30.5,,,,,,,,,,,,,0.0,25.1,74.9,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,33.2,13.9,,,,,0.2,,S2,,,,,,,,,1.5
SPT-1,9407223.0,530862.0,M-3,2.0,3.0,1.0,,4.0,5.1,SM,,,,21.0,,,,,,,,,,,,,0.0,80.7,19.3,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,0.41,,S2,,,,,,,,,2.5
SPT-1,9407223.0,530862.0,M-4,3.0,4.0,1.0,,8.0,9.52,ML,,15.4,,20.9,,,,,,,,,,,,,0.0,35.0,65.0,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,19.3,3.9,,,,,0.76,,S2,,,,,,,,,3.5
SPT-1,9407223.0,530862.0,M-5,4.0,5.0,1.0,,13.0,14.95,ML,,22.5,,26.9,,,,,,,,,,,,,0.0,5.2,94.8,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,28.0,5.5,,,,,1.19,,S2,,,,,,,,,4.5
SPT-1,9407223.0,530862.0,M-6,5.0,6.0,1.0,,10.0,10.6,CL,,21.0,,26.4,,,,,,,,,,,,,0.0,9.3,90.7,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,28.1,7.1,,,,,0.84,,S2,,,,,,,,,5.5
SPT-1,9407223.0,530862.0,M-7,6.0,7.0,1.0,,12.0,11.93,CL,,16.4,,31.4,,,,,,,,,,,,,0.0,20.5,79.5,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,29.1,12.7,,,,,0.95,,S2,,,,,,,,,6.5
SPT-1,9407223.0,530862.0,M-8,7.0,8.0,1.0,,25.0,23.2,SM,,,,19.6,,,,,,,,,,,,,0.0,85.4,14.6,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,1.85,,S2,,,,,,,,,7.5
SPT-1,9407223.0,530862.0,M-9,8.0,9.0,1.0,,44.0,38.43,SM,,,,19.0,,,,,,,,,,,,,0.0,79.9,20.1,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,3.06,,S2,,,,,,,,,8.5
SPT-1,9407223.0,530862.0,M-10,9.0,10.0,1.0,,97.0,80.15,SM,,,,17.6,,,,,,,,,,,,,0.0,78.3,21.7,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,6.38,,S2,,,,,,,,,9.5
SPT-2,9407192.0,530800.0,M-1,0.0,1.0,1.0,,9.0,11.48,SP,,,,16.9,,,,,,,,,,,,,0.0,97.2,2.8,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,0.91,,S2,,,,,,,,,0.5
SPT-2,9407192.0,530800.0,M-2,1.0,2.0,1.0,,7.0,8.93,SP-SM,,,,20.1,,,,,,,,,,,,,0.0,91.2,8.8,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,0.71,,S2,,,,,,,,,1.5
SPT-2,9407192.0,530800.0,M-3,2.0,3.0,1.0,,5.0,6.1,SM,,,,26.6,,,,,,,,,,,,,0.0,56.9,43.1,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,18.8,,,,,,0.49,,S2,,,,,,,,,2.5
SPT-2,9407192.0,530800.0,M-4,3.0,4.0,1.0,,4.0,4.67,CL,,19.7,,29.5,,,,,,,,,,,,,0.0,11.7,88.3,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,27.3,7.6,,,,,0.37,,S2,,,,,,,,,3.5
SPT-2,9407192.0,530800.0,M-5,4.0,5.0,1.0,,10.0,11.4,CL,,21.8,,33.2,,,,,,,,,,,,,0.0,12.7,87.3,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,35.9,14.1,,,,,0.91,,S2,,,,,,,,,4.5
SPT-2,9407192.0,530800.0,M-6,5.0,6.0,1.0,,12.0,12.7,CL,,20.7,,30.9,,,,,,,,,,,,,0.0,16.0,84.0,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,29.8,9.1,,,,,1.01,,S2,,,,,,,,,5.5
SPT-2,9407192.0,530800.0,M-7,6.0,7.0,1.0,,35.0,34.69,CL,,20.8,,30.2,,,,,,,,,,,,,0.0,14.5,85.5,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,31.9,11.1,,,,,2.76,,S2,,,,,,,,,6.5
SPT-2,9407192.0,530800.0,M-8,7.0,8.0,1.0,,64.0,59.16,SM,,,,18.2,,,,,,,,,,,,,0.0,83.3,16.7,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,4.71,,S2,,,,,,,,,7.5
SPT-2,9407192.0,530800.0,M-9,8.0,9.0,1.0,,60.0,52.07,SM,,,,16.4,,,,,,,,,,,,,0.0,79.3,20.7,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,4.15,,S2,,,,,,,,,8.5
SPT-3,9407204.0,530829.0,M-1 ,0.0,1.0,1.0,,,,SP-SM,,,,,,,,,,,,,,,,,,,,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,,,S2,,,,,,,,,0.5
SPT-3,9407204.0,530829.0,M-2 ,1.0,2.0,1.0,,2.0,2.0,SP-SM ,,5.7,,13.77,,,,,,,,,,,,,0.0,93.66,6.34,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,8.6,2.9,,,,,0.18,,S2,,,,,,,,,1.5
SPT-3,9407204.0,530829.0,M-3 ,2.0,3.0,1.0,,7.0,7.0,SM ,,8.8,,9.01,,,,,,,,,,,,,0.0,58.92,41.08,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,11.9,3.1,,,,,0.57,,S2,,,,,,,,,2.5
SPT-3,9407204.0,530829.0,M-4 ,3.0,4.0,1.0,,3.0,3.0,SM ,,,,3.83,,,,,,,,,,,,,0.0,58.27,41.73,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,0.24,,S2,,,,,,,,,3.5
SPT-3,9407204.0,530829.0,M-5 ,4.0,5.0,1.0,,5.0,5.0,SM ,,7.1,,8.05,,,,,,,,,,,,,0.0,78.86,21.14,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,10.1,3.0,,,,,0.39,,S2,,,,,,,,,4.5
SPT-3,9407204.0,530829.0,M-6 ,5.0,6.0,1.0,,10.0,9.0,SM ,,9.8,,14.1,,,,,,,,,,,,,0.0,77.06,22.94,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,18.6,8.8,,,,,0.71,,S2,,,,,,,,,5.5
SPT-3,9407204.0,530829.0,M-7 ,6.0,7.0,1.0,,7.0,7.0,SM ,,,,10.14,,,,,,,,,,,,,0.0,54.05,45.95,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,0.52,,S2,,,,,,,,,6.5
SPT-3,9407204.0,530829.0,M-8 ,7.0,8.0,1.0,,13.0,11.0,SM ,,7.4,,18.81,,,,,,,,,,,,,0.0,67.02,32.98,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,10.2,2.8,,,,,0.9,,S2,,,,,,,,,7.5
SPT-3,9407204.0,530829.0,M-9 ,8.0,9.0,1.0,,14.0,11.0,SM ,,,,9.51,,,,,,,,,,,,,0.0,55.11,44.89,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,0.92,,S2,,,,,,,,,8.5
SPT-3,9407204.0,530829.0,M-10 ,9.0,10.0,1.0,,9.0,7.0,SM ,,8.1,,12.82,,,,,,,,,,,,,0.0,67.73,32.27,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,9.9,1.8,,,,,0.55,,S2,4641.0,2366.0,1177.0,6.62,,,,,9.5
SPT-3,9407204.0,530829.0,M-11 ,10.0,11.0,1.0,,19.0,15.0,SM ,,9.2,,11.05,,,,,,,,,,,,,0.0,55.48,44.52,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,11.0,1.8,,,,,1.17,,S2,,,,,,,,,10.5
SPT-3,9407204.0,530829.0,M-12 ,11.0,12.0,1.0,,31.0,23.0,SM ,,,,14.2,,,,,,,,,,,,,0.0,63.83,36.17,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,1.81,,S2,5340.0,1885.0,1057.0,6.73,,,,,11.5
SPT-3,9407204.0,530829.0,M-13 ,12.0,13.0,1.0,,40.0,28.0,SM ,,,,15.24,,,,,,,,,,,,,0.0,66.58,33.42,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,2.22,,S2,,,,,,,,,12.5
SPT-3,9407204.0,530829.0,M-14 ,13.0,14.0,1.0,,54.0,58.0,SP-SM ,,,,24.84,,,,,,,,,,,,,0.0,88.07,11.93,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,0.0,,S2,4887.0,1304.0,880.0,7.19,,,,,13.5
SPT-3,9407204.0,530829.0,M-15 ,14.0,15.0,1.0,,48.0,30.0,SM ,,,,40.42,,,,,,,,,,,,,0.0,87.77,12.23,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,2.42,,S2,,,,,,,,,14.5
SPT-3,9407204.0,530829.0,M-16,15.0,16.0,1.0,,38.0,23.0,SP-SM ,,,,27.38,,,,,,,,,,,,,0.0,91.92,8.08,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,,,1.84,,S2,5904.0,1815.0,899.0,7.21,,,,,15.5
C-1,9407176.0,530794.0,M-1,0.0,1.1,1.1,,,,SP,,,,21.4,,,,,,,,,,,,,0.0,97.7,2.3,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,1.877,1.698,,,S2,4116.0,2407.0,1035.0,,,,,,0.55
C-2,9407211.0,530806.0,M-1,0.0,1.0,0.8,,,,SP,,,,2.5,,,,,,,,,,,,Bajo,0.0,99.5,0.5,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,30.5,0.0,1.806,1.523,,,S2,504.0,259.0,90.0,,,,,,0.5
C-2,9407211.0,530806.0,M-2,1.0,1.9,0.9,,,,CL,,19.4,,37.5,,,,,,,,,,,,,0.0,13.7,86.3,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,35.1,15.7,26.61,0.09,1.69,1.255,,,S2,,,,,,,,,1.45
C-3,9407245.0,530808.0,M-1,0.0,1.2,0.8,,,,SP,,,,1.4,,,,,,,,,,,,,0.0,99.2,0.8,14. LOCAL ESCOLAR COLEGIO TÉCNICO DE APLICACIÓN,,,,,,1.927,1.75,,,S2,690.0,366.0,110.0,,,,,,0.6
